Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,MinimumSalary,MaximumSalary,AverageSalary,Company Text,job_city,Age,Python,R,Spark,AWS,Excel
Data Engineer,$52K-$101K (Glassdoor Est.),"You can make a salary. Or you can make a difference. Or you can work as a Data Engineer at Herman Miller and make both.

About this Opportunity
As a Data Engineer, you'll move and integrate data across multiple disparate systems. You will clean, normalize, and aggregate Herman Miller corporate reporting and analytics. You'll also provide support to functional areas by acting as expert in tools and methods for accessing, analyzing, and reporting corporate data.

What You'll Do
You'll have opportunities to speak up, solve problems, lead others, and be an owner every day as you...
Assist end users in reporting and analysis tools.
Collaborate with Analytics and Business Teams to improve data models that feed business intelligence tools, increase data accessibility, and foster data-driven decision making across the organization.
Define company data assets (data models).
Design data integrations and data quality framework.
Develop and maintain scalable data pipelines and build out new API integrations to support continuing increases in data volume and complexity.
Implement processes and systems to monitor data quality, ensuring production data is always accurate and available for the key stakeholders and business processes that depend on it.
Perform data analysis to troubleshoot data-related issues and assist in the resolution of data issues.
Work closely with a team of Application Developers, Architects, and Analysts.
Work closely with all Business Units and Software teams to develop strategy for long-term data platform architecture.
Write unit/integration tests and document work.
Perform additional responsibilities as requested to achieve business objectives.
Sound Like You?
You might be just who we’re looking for if you have...
A Bachelor's degree in Computer Science or a related technical field.
Fully proficient retail and online retail data engineering abilities, typically gained through five years of working with Python/Java, SQL, working schema design, and dimensional data modeling.
At least five years of experience, or and equivalent combination of education and experience.
Experience designing, building, and maintaining data processing systems.
Experience working with cloud services and cloud data warehouses.
Experience with Snowflake, Matillion, Tableau, Business Objectives, and Net Suite (desirable).
The ability to manage and communicate data warehouse plans to internal clients.
Expert knowledge of best practices and IT operations in an always-up, always-available service.
Experience with or knowledge of Agile Software Development methodologies.
Advanced problem-solving and troubleshooting skills with the ability to identify and solve complex business needs.
The ability to be process-oriented with great documentation skills.
Excellent oral and written communication skills with a keen sense of customer service.
The ability to perform all essential job functions of the position with or without accommodations.
Who We Are
At Herman Miller, our unique culture represents the collective attitudes, ideas, and experiences of the people who work here. We focus on protecting the environment, impacting our communities, exceeding the expectations of our customers through high quality products, and championing diversity in all areas of the business, and together we are on a journey toward a better world. We support the well-being of our employees in and outside of work by providing a variety of opportunities including award-winning work-life integration resources, development programs, complex health and wellness offerings, and much more.

Herman Miller is a globally recognized provider of furnishings and related technologies and services. Headquartered in West Michigan, we have relied on innovative design for over 100 years to solve problems for people wherever they work, live, learn, and heal.

Herman Miller is committed to diversity and inclusion. We are an equal opportunity employer including veterans and people with disabilities.

Apply Now!",3.7,"Herman Miller
3.7",United States,-1,5001 to 10000 Employees,1905,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,52,101,76.5,"Herman Miller
",United States,115,1,0,0,0,1
Principal Data Engineer,$52K-$101K (Glassdoor Est.),"Our Technology team is the backbone of our company: constantly creating, testing, learning and iterating to better meet the needs of our customers. If you thrive in a fast-paced, ideas-led environment, you’re in the right place.

Why this job’s a big deal?

Enjoy working with big data? We do too! In fact, data lies at the very core of our business! As a data engineer you will be working on data systems that serve and generate billions of events each day. With the most advanced big data technologies at your fingertips, you will leverage data to understand, meet, and anticipate the needs of our customers.

In this role you will get to:
Work with state-of-the-art data frameworks and technologies like Kubernetes, Kafka, Terraform, Dataflow, Cloud Dataproc, and others.
You will work cross-functionally with various teams, creating solutions that deal with large volumes of data.
You will work with the team to set and maintain standards and development practices.
You will be a keen advocate of quality and continuous improvement.
You will modernize the current data systems to develop Cloud enabled Data and Analytics solutions
Drive the development of cloud-based data lake and hybrid data warehouses & business intelligence platforms
Improve upon the data ingestion models, ETL jobs, and alarming to maintain data integrity and data availability.
Build Data Pipelines to ingest structured and Unstructured Data.
Gain hands-on experience with new data platforms and programming languages
Analyze and provide data supported recommendations to improve product performance and customer acquisition.
Design, Build and Support resilient production grade applications and web services
Who you are:
Bachelor’s degree in Computer Engineering/Computer Science or equivalent
10+ years of work experience in Software Engineering and development
Experienced with Data transformation, ETL and Data Analytics using Cloud Native technologies
Strong experience with the big data technologies like Hadoop, Spark, Hive, Presto
Experience working with large, disconnected and/or unstructured datasets
Subject matter expertise building and optimizing data pipelines , architectures and data sets using Cloud native technologies
Strong experience with Containers, Kubernetes, Docker
Proven expertise with throughput batch processing and/or streaming systems (Kafka, Spark)
Strong experience with Relational SQL and NoSQL databases
Experience designing, building and maintaining RESTful APIs
Experienced in code / design reviews and familiar with Git, Jenkins, common CI/CD tools
Meticulous with strategies such as indexing, machine-learned rankings, clustering and distributed concepts
Demonstrated history of living the values important to priceline: Customer, Innovation, Team, Accountability and Trust. Unquestionable integrity and ethics.
Who we are:

WE ARE PRICELINE.

Our success as one of the biggest players in online travel is all thanks to our incredible, dedicated team of talented employees. Priceliners are focused on being the best travel deal makers in the world, fueled by our passion to help everyone experience the moments that matter most in their lives. Whether it’s a dream vacation, your cousin’s graduation, or your best friend’s wedding - we make travel affordable and accessible to our customers.

Our culture is unique and inspiring (that’s what our employees tell us). We’re a grown-up, startup. We deliver the excitement of a new venture, without the struggles and chaos that can come with a business that hasn’t stabilized.

We’re on the cutting edge of innovative technologies. We keep the customer at the center of all that we do. Our ability to meet their needs relies on the strength of a workforce as diverse as the customers we serve. We bring together employees from all walks of life and we are proud to provide the kind of inclusive environment that stimulates innovation, creativity and collaboration.

If you want to be part of something truly special, check us out!

Priceline is part of the Booking Holdings, Inc. (Nasdaq: BKNG) family of companies. Our sister companies include Booking, BookingGo, Agoda, Kayak and OpenTable.

Priceline ensures equal employment opportunity to all employees and applicants without discrimination or harassment based on race, religious creed, color, age, sex, sexual orientation, gender identity, national origin, religion, marital status, medical condition, disability, military service, pregnancy, childbirth and related medical conditions, or any other classification protected by federal, state, or local law.

We're excited that you are interested in a career with us. For all current employees, please use the internal portal to find jobs and apply.

External candidates are required to have an account before applying. When you click Apply, returning candidates can log in or new candidates can quickly create an account to save/view applications.",3.5,"Priceline.com
3.5","Norwalk, CT",-1,501 to 1000 Employees,1997,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,52,101,76.5,"Priceline.com
",Norwalk,23,0,0,1,0,0
Data Science Analyst,$52K-$101K (Glassdoor Est.),"Data Science Analyst

Job Details
Level
Experienced
Job Location
New York - New York, NY
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
None
Job Shift
Undisclosed
Job Category
Information Technology
Description
Greater New York Mutual Insurance Company (""GNY"") is an A+ rated, financially stable and growing property casualty insurance company with locations throughout the Northeast. We are currently looking for a dynamic and highly motivated Data Science Analyst for our New York office.

The purpose of this job is to assist in developing and maintaining advanced analytics tools by utilizing machine learning and predictive analytics techniques. It results in pricing enhancement, early fraud detection, loss control efficiency, customer experience improvement, better broker selection, and better claims reserving.

Responsibilities
Score GL and Property renewal policies using underwriting score models - monthly
Analyze loss control data and narrow down inspection questionnaires from hundreds to top 20-30s - daily
Add sold rate and rate adequacy to New Business Score Engine - daily
Develop a machine learning-based model for setting individual claims reserving - daily
Support requests from other departments (e.g., actuarial, underwriting) - weekly
Qualifications
Have obtained a Bachelor's or Master degree from an accredited institution preferably in Data Science, Statistics, Applied Mathematics or Computer Science
2 - 4 years of experience in machine learning, predictive analytics, and data mining
3+ years experience with programming (e.g., R, Python, SQL)",3.7,"GNY Insurance Companies
3.7","New York, NY",-1,201 to 500 Employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,52,101,76.5,"GNY Insurance Companies
",New York,106,1,0,0,0,0
Data Engineer,$52K-$101K (Glassdoor Est.),"ABOUT BITFOCUS, INC.

Founded in 2003, Bitfocus, Inc. is changing the way communities nationwide integrate software, systems, data, and policy to innovate and strengthen the nation's social safety net. We develop software and administer data systems that affect and change lives, connecting our most vulnerable populations to the most effective resources available in their communities. Our products empower organizations and communities to better leverage their resources, helping them to become data-driven in their efforts in all areas of health, human, and social services.

Our diverse and inclusive culture has played a key role in our success at Bitfocus. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity or expression, veteran status, or disability.

About our Data Services Team:

Our Data Services team's mission is to promote a data driven decision-making culture to solve homelessness. We do this by combining a team of experts in data modeling, analytics, and integration with social services experience. From one-time data migrations into Clarity Human Services, to real-time dashboarding, the Data Services team plays an integral role is supporting communities to make data driven decisions.

Success/Impact Statement:

The Data Services Engineer will help maintain all aspects of our analytics platform, provide troubleshooting support, identifying opportunities for refinement. They will assist in building out next generation analytics tools for dashboarding, data science, and data integration. They will work primarily with internal Bitfocus staff. A passion for data and concern for data integrity is key to a candidate's success.

As a Data Engineer, you will:
Build and refine our analytics platform.
Develop automated unit-testing processes.
Build automated data cleansing tools.
Assist in helping individuals and communities transform their data into actionable insights.
Contribute to the implementation of HUD policies and procedures as they pertain to data structure and implement best practices in regard to HMIS data analysis.
Design and build actionable dashboards for all aspects of homeless services.
Act as a subject matter expert and liaison with other areas within Clarity Human Services on data integration topics.
Complete ad-hoc projects as assigned.
You will love this position if:
You want to make an impact. You thrive on helping others and want your work to make a difference.
You love data and use it to make decisions.
You want to be part of a world class, dedicated, supportive team.
Required experience that drives success in this role:
5 years' experience in a data modeling or business intelligence environment.
Strong SQL skills, including the ability to write queries and stored procedures.
Experience with data analytics tools such as Looker, Tableau, or Qlik.
Experience with scripting languages such as Python or R.
Solid understanding of data systems, including data relationships and data modeling with the ability to learn and understand various data environments.
Sound planning and organizational skills with strong attention to detail.
Demonstrated ability to handle multiple concurrent projects and priorities in a fast-paced, evolving environment.
Work independently and with others; self-directed and results-oriented.
Excellent interpersonal skills.
Willingness to learn new technologies to best solve data-related issues.
Effective written and oral communication skills in English.
What makes you stand out:
Experience working in a completely remote company.
A college degree (a major in information systems, computer science, mathematics, finance, accounting, statistics or related field is preferred).
MariaDB/ MySQL experience preferred.
Data Analytics tools such as Looker or Tableau preferred
Strong preference for experience in social services and/or HMIS experience.
How we'll support you:
Work in a fully remote/virtual environment
A unique, friendly and caring culture! Hear more from our employees on Glassdoor.
Medical, dental, vision insurance
401K Retirement Plan
Paid parental leave
Paid time off
Paid volunteer time off
Bitfocus primarily uses Apple computers; all new employees receive either an iMac or MacBook Pro to use in their role at Bitfocus
Opportunities for professional growth and development",4.9,"Bitfocus
4.9",Remote,-1,51 to 200 Employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,52,101,76.5,"Bitfocus
",Remote,17,1,0,0,0,1
Director of Data Science,$52K-$101K (Glassdoor Est.),"Overview


Analysis Group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.

Analysis Group provides economic, financial, and strategy consulting to law firms, corporations, and government agencies. At Analysis Group, Data Science is a center of excellence within a company that already has decades of experience focused on analysis involving data. Within Data Science, the Director of Data Science is charged with collaborating with leading internal and external academic experts to find creative solutions to some of the most challenging and high-value problems we face.

The Director of Data Science contributes to both client engagements and to the design and development of internal data science tools and infrastructure. The client work is diverse, utilizing a wide variety of complex and novel data sources, and supporting cases across industries including: finance, healthcare, antitrust, intellectual property, energy, and technology. The tool and infrastructure work assists the firm in developing cutting-edge data science and high-performance computing techniques for common business challenges.

The Director of Data Science helps Analysis Group in maintaining our leadership position in terms of advancing methodology and data computations, and works to increase Data Science knowledge within the firm, both through mentorship to more junior Data Science team members and via interactions with Consulting teams. The Director also is involved in recruiting, assisting in building out the team over time.

Essential Job Functions and Responsibilities:
Work with project teams to creatively address data science/computing challenges
Take initiative to identify opportunities for technology to enhance service offerings
Act as a resource and participate in client engagements and research as part of the project team
Maintain up-to-date knowledge of data science and computing tools, providing technical training and helping to grow the in-house knowledge base
Present research at selected conferences; serving as an expert
Maintain individual contributions while providing mentorship to other data scientists and analysts conducting work such as:
Optimize procedures for managing and accessing large databases (e.g., insurance claims, electronic health records, financial transactions)
Create interactive analytics portals and data visualizations (e.g., using R/Shiny, Python/Flask, D3)
Build and maintaining high performance computing (HPC) tools on grid and cloud computing environments
Develop and reviewing open source macros and packages in R, Python and other Object Oriented Languages
Establish optimized procedures for repetitive or computationally intensive tasks (C, C++, Cuda-C)
Use natural language processing methodologies to work with EMR data, social media data and other unstructured data
Contribute to team growth/development via assistance with advisorship and recruiting
Contribute to firm’s strategy for data science tools and infrastructure
Qualifications
Track record of using data to solve real-world problems
Experience applying multiple software tools and languages to provide data-driven analytical solutions to decision makers or research teams
Strong credentials and experience in database management and data visualization
PhD or advanced degree in computer science or data science-related field, with relevant experience. Other candidates with at least three years of relevant experience in the field will also be considered
Background in Statistics/Econometrics or Biostatistics
Extensive experience in programming languages like Python, C++, Java
Knowledge of R, Shiny and SQL
Familiar with online/cloud computing/storage (e.g., AWS)
Linux and basic system administration experience
Demonstrated experience working on project teams and collaborating with others
Strong communication skills
­
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
Please view Equal Employment Opportunity Posters provided by OFCCP here.
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)",3.7,"Analysis Group
3.7","Boston, MA",-1,1001 to 5000 Employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),-1,52,101,76.5,"Analysis Group
",Boston,39,1,0,0,1,1
Internship - Data Science,$52K-$101K (Glassdoor Est.),"Internship - Data Science

Job Details
Level
Entry
Job Location
NLC - Washington, DC
Position Type
Internship
Education Level
4 Year Degree
Salary Range
$15.00 - $15.00 Hourly
Travel Percentage
None
Job Shift
Day
Job Category
Undisclosed
Description
The National League of Cities (NLC) is seeking talented young leaders looking to make a change to a career in data science. In recent years Big Data analytics has been a growing challenge and need for cities big and small-- to help improve decision making, the delivery of public services, and effective use of public dollars.

Intern activities may include but are not limited to:
Advise NLC program teams on best data science tools and techniques to support their work;
Collaborate in development of member retention model using internal member database;
Support data requests from NLC staff, members, corporate partners, and other partners; and
Contribute to NLC’s long-term data strategy and vision including the identification of data and research most timely and relevant to our member cities.
Interns will have the opportunity to:
Engage with member cities and corporate and other organizational partners
Collaborate and network with NLC staff and other interns;
Attend conferences, webinars, and trainings to learn new technical and research skills; and
Participate in NLC events such as Congressional City Conference (CCC) and City Summit.
Skills and Qualifications
Currently enrolled in and pursuing a graduate degree in Data Science, Public Policy, or other related degree program such as an MBA
Coursework or professional experience with data management and hygiene
Database management and developing queries using SQL
Familiarity with data analytics tools and packages such as R, Python, SAS, and ArcGIS
Excellent oral, written, and interpersonal communication skills
Experience with natural language processing and machine learning a plus
Passion for cities both large and small! What makes each community unique and how can we unleash the full potential of each?
We currently have 2 intern positions to start in August 2020 and end in December 2020 and are looking for candidates who can work 10-20hrs/week Monday through Friday. Pay will be $15.00/hr. Applicants MUST be U.S. citizens or permanent residents. Please elaborate on your skills and qualifications in your cover letter and send with resume to David Park (park@nlc.org).
Qualifications",2.6,"National League of Cities
2.6","Washington, DC",-1,51 to 200 Employees,1991,Nonprofit Organization,Membership Organizations,Business Services,$5 to $10 million (USD),-1,52,101,76.5,"National League of Cities
",Washington,29,1,0,0,0,1
Data Science Support Analyst (Journeyman),$52K-$101K (Glassdoor Est.),"Job Description BAE Systems is seeking to hire multiple Journeyman Data Science Support Analysts to help support counterterrorism intelligence integration on a multifaceted U.S. Government program. The Journeyman Data Science Support Analyst will leverage numerous analytic tools and databases to evaluate information that bolsters the U.S. Governments response to and prevention of potential threats to the homeland and interests abroad.

The Journeyman Data Science Support Analyst is responsible for constructing scripts and configuring controls to support analysts performing repeatable complex database queries in multiple databases. This role is responsible for creating automated-scripting to assist analysts with data discovery. Responsibilities include working independently and collaboratively to identify and implement solutions.

PF1Required Skills and Education
Degree : BA/BS in a technical field such as mathematics, engineering, or computer science (6 years of work experience may be substituted for a Bachelor's degree)
Experience supporting complex data science and analytic projects
Experience/knowledge of computer science concepts including programming, statistics, data architecture, and data analytics
Experience with quantitative and qualitative content analytics
Excellent reading comprehension skills
Detail-oriented with a proficiency for researching, analyzing, and prioritizing intelligence reports and cables
Ability to work with IC tools and databases
Strong problem-solving, analytic, and written and oral communication skills
Excellent attention to detail and ability to accurately follow SOPs
Ability to work shift work/extended hours
Strong interpersonal skills and the ability to work well both independently and in a team environment
Preferred Skills and Education
Demonstrated knowledge of intelligence analysis and experience with synthesizing large amounts of data
Familiarity with analytic tools; experience with constructing and performing complex database search queries across multiple databases
Proficiency with software applications/databases used in support of research and analysis for the U.S. Government
About BAE Systems Intelligence & Security BAE Systems Intelligence & Security, based in McLean, Virginia, designs and delivers advanced defense, intelligence, and security solutions that support the important missions of our customers. Our pride and dedication shows in everything we dofrom intelligence analysis, cyber operations and IT expertise to systems development, systems integration, and operations and maintenance services. Knowing that our work enables the U.S. military and government to recognize, manage and defeat threats inspires us to push ourselves and our technologies to new levels. Thats BAE Systems. Thats Inspired Work. Equal Opportunity Employer/Females/Minorities/Veterans/Disabled/Sexual Orientation/Gender Identity/Gender Expression. To see Inspired Work in action, visit www.baesystems.com and follow us on Facebook: www.facebook.com/baesystemsintel.",3.7,"BAE Systems USA
3.7","McLean, VA",-1,10000+ Employees,1999,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),-1,52,101,76.5,"BAE Systems USA
",McLean,21,0,0,0,0,1
Machine Learning Engineer,$52K-$101K (Glassdoor Est.),"Preferred Qualifications
Masters degree in computer science or a related field or equivalent experience
3 years of professional or research experience with software development, algorithm design, modeling or machine learning
Familiarity with various machine learning methods
Strong object-oriented programming skills, including proficiency in Python, Java, Scala or C/C++
Experience building and productionizing micro-services and REST APIs
Experience productionizing ML pipelines and graphs on a large scale
Experience working with large datasets, both structured and unstructured, and SQL knowledge
Familiarity with the Hadoop ecosystem (Apache Hive, Oozie, HBase and Kafka) and experience using a distributed computing platform, such as Spark
Experience working with cloud computing providers such as AWS or Azure
Great written and verbal communication skills
Experience with containerized environments like Docker or Kubernetes
Knowledge of machine learning libraries like Scikit-learn, TensorFlow, Caffe, Keras, etc.
Experience with Jfrog Artifactory, CircleCI or HAL Deployments
Job Summary

The Machine Learning Engineer (MLE) designs and develops the platform and frameworks that facilitate automated data-driven decision-making. This team member collaborates with data scientists to design tools to train machine learning models using data from across the enterprise and deploy machine learning services at various decision points across the business process. The MLE participates in the acquisition of data and the development of the modeling pipeline and builds the necessary integrations to deliver decisions at the right time. This person builds tools for monitoring the performance of machine learning applications and develops the necessary failsafe procedures that ensure the delivery of the most optimal decisions. The MLE develops tools that allow interactive exploration of machine learning models and runs simulations of various business scenarios. MLEs are part of a community that participates in code reviews, design reviews, extracting best practices and researching new methods.

Responsibilities
Work with data scientists and business analysts to frame problems within a business context
Build data pipelines that pull data from various sources
Collaborate with data scientists to develop algorithms and tools for training and running simulations
Develop services that host the trained models and work with other application teams to integrate them into business processes
Build interfaces to interact with machine learning models through simulations, visualize model metrics and collect domain expert feedback
Participate in code reviews to ensure code quality and share best practices and experiences with the team
Who We Are

We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 7 consecutive years, 2014 through 2020, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.

If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was once again named to FORTUNE magazine's ""100 Best Companies to Work For"" list in 2019 and has been included in the magazine's top one-third of companies named to the list for the past 16 consecutive years. In addition, Essence Magazine named Quicken Loans the ""#1 Place to Work in the Country for African Americans.""

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.8,"Quicken Loans
3.8","Detroit, MI",-1,10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),-1,52,101,76.5,"Quicken Loans
",Detroit,35,1,0,1,1,0
Data Analyst,$52K-$101K (Glassdoor Est.),"AIPSO is a management organization and service provider for various insurance industry groups responsible for administering the residual market. We are a national organization that serves local customer needs. Centralization and standardization are key to many AIPSO services because of the inherent economies of scale and other efficiencies. However, our organization is based on customer focus and recognizes the need for flexibility in serving customer groups with diverse interests.

Essential Duties and Responsibilities:
• Support production processing including identifying and troubleshooting processing issues for
Basedata/Takeout, APS, PASS, EASi, KIP, EAG, and CWDB, and the integration of open systems for
Allocation System, GhostDraft, ATLAS, and Stingray.
• Process reported statistical data, and analyze data for completeness, reasonability, and anomalies.
• Research and analyze data issues using MS Office tools and SQL queries.
• Review discrepancies in data received.
• Develop ad hoc queries and reports using SQL tools for open systems.
• Serve in the role of Automated Batch Scheduler consultant and job developer.
• Support new customer FTP setups and troubleshoots issues with existing customer setups.
• Create and maintain system and process documentation.
• Support testing and production implementation for process and system changes.
• Identify and act upon opportunities to streamline and automate processes.
• Identify and recommend appropriate continuous improvement opportunities.
• Demonstrate collaborative approach to recommend technical solutions.
• May provide training to other team members on technology tools.

Education:
Bachelor's degree (BA/BS) from four-year college or university in Data Analysis or related field preferred. Additional appropriate experience or training may be considered in lieu of degree.

Experience:
1 to 3 years' experience working with databases and reporting tools for data analysis and reporting. Experience in the automobile insurance industry a plus.

Skills/Knowledge:
• Demonstrate understanding of databases, queries and reporting tools.
• Strong analytical skills to analyze, interpret and question data validity.
• Knowledge of technology platforms and software (e.g. job scheduling software) a plus.
• Proficient in the use of Microsoft Office productivity tools (e.g. Outlook, Word, Excel) to manage work.
• Effective problem-solving skills, including ability to analyze complex issues, find the root cause of the
problem, and consider a wide range of alternatives before acting.
• Demonstrate strong verbal and written communication skills, including ability to effectively present
information and respond to questions from groups or individuals.
• Ability to multi-task and demonstrate flexibility while maintaining attention to detail.
• Demonstrate excellent organizational and customer service skills.
• Ability to work independently and interact professionally and effectively in a team environment.

Our company is an equal opportunity employer. To this end, all employment related decisions are made on a non-discriminatory basis and in full compliance with federal, state, and local laws prohibiting discrimination in employment.",4.1,"AIPSO
4.1","Johnston, RI",-1,201 to 500 Employees,1972,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,52,101,76.5,"AIPSO
",Johnston,48,0,0,0,1,1
Data Analyst,$52K-$101K (Glassdoor Est.),"Chat with a recruiter today! Follow this link: https://flashrecruit.com/jobs/18976467

Job Overview:
Our client in renewable energy, will be hiring a mid-level Data Analyst with SQL & Python scripting and experience creating dashboards in Tableau. Our client is looking for a candidate who is currently living in the Portland, Oregon area.

***Not able to sponsor or use 3rd parties or Corp to Corp candidates***

Responsibilities:
In the first few months, this position will be responsible for completing pull requests and data research.
There is an outstanding list of data research and pull requests from internal and external customers. Getting those completed, and working with the rest of the Product Management team to create a process where those can be requested and satisfied more easily is the top priority.
The primary data is stored in Amazon Redshift and the lab data is stored in Postgres instances.
This role will be responsible for reporting, we would like to have the data appear in Tableau. Many of the ad-hoc requests will also have a reporting / presentation requirement.

Qualifications
3+ years of experience in Data Analysis.
Experience with data integration, writing complex SQL queries and Python scripting.
Experience creating dashboards/reports using Tableau.
Ability to work in a fast-paced/changing environment

Preferred
Experience extracting data from Amazon Redshift and S3 buckets.
Passion for renewable energy
Experience with power electronics and/or battery systems

Chat with a recruiter today! Follow this link: https://flashrecruit.com/jobs/18976467",-1,Tech Talent Link,"Tualatin, OR",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1,52,101,76.5,Tech Talent Link,Tualatin,-1,1,0,0,0,0
Data Science Manager,$52K-$101K (Glassdoor Est.),"Decode_M

https://www.decode-m.com/

Data Science Manager : Job Description

We’re hiring a Data Science Manager in our New York office to lead Decode_M’s Data Science team in developing new solutions for our clients and advancing the science of momentum through our proprietary product.

This position, based in New York City, requires an interest in managing Decode_M’s data science team, workflow and offerings. It demands excellent organizational skills, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in analytics, research and strategy.

About You
You have an advanced degree in data science, mathematics, or another highly quantitative field, and are comfortable understanding and utilizing recent academic research in your work.
You have 3+ years of relevant work experience using applied statistics and/or machine learning. Bonus points if you’ve worked in a consulting, or other client-facing role before
You have 1+ years of management experience.
You are fluent in Python and R, as well as a robust numerical computing and data science stack in each language. Not only do you produce readable and well-documented code, but elevate your team’s work through thoughtful code review and mentorship
You are highly consultative, engaged, and detail-oriented. You see beyond the question you are asked to understand client objectives, and chart a course for long-term success in our relationships
You are an autodidact, who loves to figure out new solutions to problems by diving deep into StackOverflow, Arxiv.org, or your preferred destination.
You are curious, inquisitive, proactive, organized, and methodical. You like to use substantiated data to both identify and solve problems, rather than trust your gut alone


What You'll Do

Lead a team. Help to set the vision for the Data Science team and follow through on that vision. Be a mentor to a small, close-knit team of data scientists, helping them to develop professionally

Drive New Product Development: Decode_M has developed a proprietary algorithm to quantify the cultural momentum of brands, entities, people and movements. You will steward the development of the algorithm and be part of the product team to bring it to market with new customers

Manage Process. Work across teams and with Decode_M’s leadership to ensure that our work is top notch, deadlines are met, and projects are resourced appropriately. Foster an environment where the team is empowered to do its best work

Build Tools. Use data from social media, online reviews, mainstream media sites, search, web traffic, quantitative research, CRMs or other databases, etc. to uncover intelligence around growth opportunities and business challenges. Build software and/or repeatable processes to scale this work

Grow our Capabilities. Advance our expertise in applying statistics and machine learning to digital trends, CRM data, and quantitative research. Know the state of the field well enough to know when to reach for best-in-class tools and when to design your own solutions",-1,Decode_M,"New York, NY",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1,52,101,76.5,Decode_M,New York,-1,1,0,0,0,1
